# libSceAcm
# libSceAudioPropagation
-wsUTr31yeg sceAudioPropagationSourceSetAttributes
5vzOS2pHMFc sceAudioPropagationSourceSetAudioPaths
7xyAxrusLko sceAudioPropagationSystemQueryMemory
8bI5h8req30 sceAudioPropagationRoomCreate
BbOT4vBwAjs sceAudioPropagationResetAttributes
CPLV6G-eXmk sceAudioPropagationSystemRegisterMaterial
G+QLTfyLMYk sceAudioPropagationSourceGetAudioPathCount
PBcrVpEqUVY sceAudioPropagationSourceCalculateAudioPaths
S0JwP2AFTTE sceAudioPropagationRoomDestroy
VlBT16890mA sceAudioPropagationSystemSetRays
WXMhENV2NcA sceAudioPropagationPortalSetAttributes
XKCN4gpeYsM sceAudioPropagationSystemUnregisterMaterial
ZQXE-xS6MTE sceAudioPropagationPortalDestroy
aKJZx7wCma8 sceAudioPropagationSourceGetRays
aNEqtSHdUSo sceAudioPropagationSystemCreate
b-dYXrjSNZU sceAudioPropagationPortalCreate
d84otraxt2s sceAudioPropagationSourceCreate
eEeKqFeNI3o sceAudioPropagationSourceGetAudioPath
hhz9pITnC8k sceAudioPropagationSourceRender
ht-QXT3zGxo sceAudioPropagationSystemGetRays
kIdb+iQUzCs sceAudioPropagationSystemSetAttributes
tKSmk2JsMAA sceAudioPropagationSourceSetAudioPath
tL2AEPejVQE sceAudioPropagationPathGetNumPoints
wkseM3LWPuc sceAudioPropagationSourceDestroy
x5VPqg5iyAk sceAudioPropagationSystemDestroy
# libSceAudiodec
6Vf9WTLDoss sceAudiodecClearContext
KHXHMDLkILw sceAudiodecDecode
O3f1sLMWRvs sceAudiodecCreateDecoder
Tp+ZEy69mLk sceAudiodecDeleteDecoder
VjhsmxpcezI sceAudiodecInitLibrary
h5jSB2QIDV0 sceAudiodecTermLibrary
# libSceAudiodecCpu
-0jDlM2hG5k sceAudiodecCpuInternalDecode
CnY1NGmdi7I sceAudiodecCpuInternalClearContext
KkhdeVCyo6Y sceAudiodecCpuInternalInitDecoder
R8v5kdZ55mY sceAudiodecCpuInternalQueryMemSize
hAS5WH6hxrE sceAudiodecCpuClearContext
hdFsxo3MFu8 sceAudiodecCpuInitDecoder
ktD2w3D4G2U sceAudiodecCpuQueryMemSize
lSVTiWV5wLc sceAudiodecCpuDecode
# libSceAudiodecCpuHevag
lYA31T9O1KU audiodeccpuinternal_core_ops_hevag2
# libSceM4aacEnc
+MdgHI0TYOw sceM4aacEncFlush
Fqn-wkJCOes sceM4aacEncEncode
U2iepfgrDMg sceM4aacEncCreateEncoder
uPqxvaoLkbM sceM4aacEncClearContext
z394AzuRItE sceM4aacEncDeleteEncoder
# libSceNgs2
++YZ7P9e87U sceNgs2RackUnlock
-TOuuAQ-buE sceNgs2VoiceGetState
-YNfTO6KOMY sceNgs2FftQuerySize
-tbc2SxQD60 sceNgs2SystemSetSampleRate
0eFLVCfWVds sceNgs2RackQueryBufferSize
0lbbayqDNoE sceNgs2GeomResetSourceParam
1WsleK-MTkE sceNgs2GeomCalcListener
3oIK7y7O4k0 sceNgs2SystemQueryInfo
3pCNbVM11UA sceNgs2CalcWaveformBlock
4lFaRxd-aLs sceNgs2SystemGetUserData
6qN1zaEZuN0 sceNgs2CustomRackGetModuleInfo
7Lcfo8SmpsU sceNgs2GeomResetListenerParam
9eic4AmjGVI sceNgs2VoiceQueryInfo
AQkj7C0f3PY sceNgs2SystemResetOption
AbYvTOZ8Pts sceNgs2VoiceRunCommands
BcoPfWfpvVI sceNgs2JobSchedulerResetOption
D8eCqBxSojA sceNgs2FftProcess
EEemGEQCjO8 sceNgs2ModuleArrayEnumItems
GZB2v0XnG0k sceNgs2SystemSetUserData
I+RLwaauggA sceNgs2StreamCreateWithAllocator
JNTMIaBIbV4 sceNgs2RackSetUserData
JXRC5n0RQls sceNgs2SystemUnlock
Kg1MA5j7KFk sceNgs2FftInit
M4LYATRhRUE sceNgs2RackGetInfo
MI2VmBx2RbM sceNgs2RackRunCommands
Mn4XNDg03XY sceNgs2RackGetUserData
MwmHz8pAdAo sceNgs2RackGetVoiceHandle
MzTa7VLjogY sceNgs2RackLock
TZqb8E-j3dY sceNgs2RackQueryInfo
TaoNtmMKkXQ sceNgs2ModuleEnumConfigs
U-+7HsswcIs sceNgs2SystemEnumRackHandles
U546k6orxQo sceNgs2RackCreateWithAllocator
W-Z8wWMBnhk sceNgs2VoiceGetOwner
WCayTgob7-o sceNgs2VoiceGetPortInfo
Wdlx0ZFTV9s sceNgs2SystemSetLoudThreshold
bfoMXnTRtwE sceNgs2StreamDestroy
cLV4aiT9JpA sceNgs2RackCreate
dxulc33msHM sceNgs2StreamQueryBufferSize
eF8yRCC6W64 sceNgs2GeomApply
ekGJmmoc8j4 sceNgs2GetWaveformFrameInfo
gThZqM5PYlQ sceNgs2SystemLock
gXiormHoZZ4 sceNgs2SystemRunCommands
gbMKV+8Enuo sceNgs2PanGetVolumeMatrix
hyVLT2VlOYk sceNgs2ParseWaveformData
i0VnXM-C9fc sceNgs2SystemRender
iprCTXPVWMI sceNgs2ParseWaveformFile
jjBVvPN9964 sceNgs2VoiceGetMatrixInfo
koBbCMvOKWw sceNgs2SystemCreate
l4Q2dWEH6UM sceNgs2SystemSetGrainSamples
lCqD7oycmIM sceNgs2RackDestroy
mPYgU4oYpuY sceNgs2SystemCreateWithAllocator
nPzb7Ly-VjE sceNgs2ReportUnregisterHandler
pgFAiLR5qT4 sceNgs2SystemQueryBufferSize
q+2W8YdK0F8 sceNgs2StreamResetOption
qQHCi9pjDps sceNgs2StreamRunCommands
rEh728kXk3w sceNgs2VoiceGetStateFlags
rfw6ufRsmow sceNgs2StreamQueryInfo
sU2St3agdjg sceNgs2StreamCreate
t9T0QM17Kvo sceNgs2ParseWaveformUser
u-WrYDaJA3k sceNgs2SystemDestroy
uBIN24Tv2MI sceNgs2ReportRegisterHandler
uu94irFOGpA sceNgs2VoiceControl
vU7TQ62pItw sceNgs2SystemGetInfo
ve6bZi+1sYQ sceNgs2ModuleQueueEnumItems
vubFP0T6MP0 sceNgs2SystemEnumHandles
xa8oL9dmXkM sceNgs2PanInit
# libSceTextToSpeech2
+352WTlGCQI sceTextToSpeech2GetSystemStatus
08JSg9p6bgQ sceTextToSpeech2GetSpeechStatus
2jiIxUmcsGo sceTextToSpeech2Cancel
8ntsRd07EQA sceTextToSpeech2Speak
LazJT1ZrQys sceTextToSpeech2RegisterTextConversionItem
SoWHuVW0gpU sceTextToSpeech2Terminate
UOjiprYwVNw sceTextToSpeech2Initialize
X0HZNbSiqyg sceTextToSpeech2Open
t4e879M-cSw sceTextToSpeech2Close
# libSceVoice
54phPH2LZls sceVoiceStart
9TrhuGzberQ sceVoiceInit
Ao2YNSA7-Qo sceVoiceStop
CrLqDwWLoXM sceVoiceGetPortInfo
Dinob0yMRl8 sceVoicePausePortAll
IPHvnM5+g04 sceVoiceInitHQ
Oo0S5PH7FIQ sceVoiceEnd
Pc4z1QjForU sceVoiceGetMuteFlag
QBFoAIjJoXQ sceVoiceSetVolume
TexwmOHQsDg sceVoiceSetBitRate
YeJl6yDlhW0 sceVoiceWriteToIPort
Z6QV6j7igvE sceVoiceGetResourceInfo
ajVj3QG2um4 sceVoiceDisconnectIPortFromOPort
b7kJI+nx2hg sceVoiceDeletePort
cJLufzou6bc sceVoiceGetBitRate
cQ6DGsQEjV4 sceVoiceReadFromOPort
clyKUyi3RYU sceVoiceSetThreadsParams
elcxZTEfHZM sceVoiceGetPortAttr
gAgN+HkiEzY sceVoiceResumePort
gwUynkEgNFY sceVoiceSetMuteFlag
jSZNP7xJrcw sceVoiceUpdatePort
jbkJFmOZ9U0 sceVoiceResumePortAll
jjkCjneOYSs sceVoiceGetVolume
lLkJVewQK68 sceVoiceEnableChat
nXpje5yNpaE sceVoiceCreatePort
oUha0S-Ij9Q sceVoiceSetMuteFlagAll
oV9GAdJ23Gw sceVoiceConnectIPortToOPort
udAxvCePkUs sceVoiceResetPort
x0slGBQW+wY sceVoicePausePort
xHSNCLrQq3A sceVoiceDisableChat
17 stub libraries, 633 symbols
