nid,nid_u64,primary_name
macqYvf1Glg,7393971106456299872,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_17TitleCloudStorage2V110DataStatusEEEE6resizeEj
OX9SKcSFJQY,16572482086193370136,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS2_6VectorINS3_INS1_7Matches2V123RequestTeamMemberResultEEEEEEC1EPS9_PFvSB_EPNS2_10LibContextE
amjxbR+QyxU,12223831192616774740,_ZN3sce3Gnm12RenderTarget11setTileModeENS0_8TileModeE
XHA6t0CcQ-A,8196809556763938752,_ZN9Matching211Transaction6Packet17GetRoomMemberData15AttributeIdListD1Ev
bgw1d8UPxfQ,13272343255954954192,_ZN3sce7Toolkit2NP2V212ActivityFeed5StoryC2Ev
62PmOEiNI8A,12506382782940090112,_ZN3sce2Np9CppWebApi6Common8IteratorINS2_12IntrusivePtrINS1_14SessionManager2V161PostPlayerSessionsSessionIdJoinableSpecifiedUsersResponseBodyEEEEC1Ev
B8q2yfuN-ps,2245848328744467052,_Z28Ime_DicDeleteLearnDicsNativei
RPtuuEd2sAE,1436009332232339460,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS2_6VectorINS3_INS1_14SessionManager2V124GameSessionMemberForReadEEEEEED2Ev
6GvXUqmDjDY,11650633336225673432,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS2_6VectorINS3_INS1_7Matches2V120RequestPlayerResultsEEEEEEaSERSA_
wIbot9JX05s,151894092339433068,_Z42snd_SynthRemoveLR2HandlerFromIrWaitingListP13EffectHandler
ggnCfalLU-8,587449231332954108,sceSharePlayCrashDaemon
9OEaW3BN+Pg,15241422959042618336,_ZN3sce2Np9CppWebApi14SessionManager2V117PlayerSessionsApi40ParameterToGetJoinedPlayerSessionsByUserC2Ev
AN4y+K+3-jU,250173954044459220,__ubsan_handle_nullability_arg
-xFt+QI7Luo,18178137660981033896,_ZN3sce11TextureTool3Raw15swizzle_1_7_7_5EPDv2_xj
wzz7ixbk0+o,933351422078177192,snd_ReadZlsData
rCnvauevHHc,12729351416586203612,sceNpManagerIntLoginSignin
pdw32NjjNkc,10912467515083643164,uregex_groupUText_67
ltsRiUsRsVE,6587717480406762820,_ZN3sce7Toolkit2NP2V26Friend7Request19GetFriendsOfFriendsD2Ev
I7GFwkajYkc,10287935726642104604,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS1_14SessionManager2V118RequestGameSessionEED2Ev
IWzkMZOnh88,9634203209272532796,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_11Matchmaking2V15ErrorEEEE8pushBackERKS8_
udOaISxHazk,16667374190061268196,_ZZN3sce3Agc13setElseTargetEPNS0_12BranchPacketENS0_11CachePolicyEPNS0_6PacketEjE7enabled_1
c7lqN7F7JKk,14908507816236716708,_sceAjmModuleUnregister
YRrqxsvKqaM,9541908368758318732,_ZN3sce2Np9CppWebApi6Common15TransactionImplINS2_12IntrusivePtrINS1_14SessionManager2V153PostGameSessionsSessionIdMemberSpectatorsResponseBodyEEENS2_11EmptyHeaderEE17setNpWebApi2ReqIdEl
Vn8i8biyz2o,6484211249831427496,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS2_6VectorINS3_INS1_7Matches2V120RequestPlayerResultsEEEEEEC2Ev
t84AiYnMwPg,16084608432043394016,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_11UserProfile2V113BasicPresenceEEEE5beginEv
TFC8dHvkuYs,3549665340291212844,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS1_13InGameCatalog2V511MediaSourceEED2Ev
gw6eHbjfARY,881149129122382936,_ZN9Inspector22RemoteInspectionTargetD1Ev
QTg20GyF27Y,351521846142136024,_ZN3JSC8JSObject33prototypeChainMayInterceptStoreToERNS_2VMENS_12PropertyNameE
7fTspeJSVrg,13246127292939852512,_ZN3sce2Np9CppWebApi6Common8IteratorINS2_12IntrusivePtrINS1_14SessionManager2V129RequestPlayerSessionSpectatorEEEEmmEi
gRk5E+DmCJ8,316628903984112252,_sce_net_i5_signaling_get_ctx_by_matching2_ctx_id
guaqRqZCe2g,836166612532456864,_ZN3sce2Np9CppWebApi17TitleCloudStorage2V110DataStatus11unsetSlotIdEv
xL1fjHSSpeQ,1366136814423414672,_ZN3sce2Np9CppWebApi6Common10LibContext17createTransactionINS2_12IntrusivePtrINS1_17TitleCloudStorage2V129GetMultiVariablesResponseBodyEEENS5_INS2_18ResponseHeaderBaseEEEEEiRNS2_11TransactionIT_T0_EE
GxlTLlXDXdU,7810733487657154388,_Z6DELETEIN3sce2Np9CppWebApi6Common6VectorINS2_14SessionManager2V123CustomInvitableUserTypeEEEEiRNS3_10LibContextEPT_
WIxiNVXHf2s,7075586939446754732,_ZN3sce2Np9CppWebApi6Common8IteratorINS2_12IntrusivePtrINS1_14SessionManager2V127ResponsePlayerSessionPlayerEEEEC2Ev
wLzJUeJqDxQ,212554596598955088,sceBgftServiceIntPlayGoGetDiscIniChunksInstallProgress
MSwzxIAJjWY,14173055703553815960,ff4_rec_restore_moof
l1XKH6CiQVM,6725889092322133324,_ZNK3sce2Np9CppWebApi13InGameCatalog2V59Container16descriptionIsSetEv
B-DJJd2Bx84,2288713268573183800,sceFsUfsFsck_inoinfo
QflGzVw8KlA,568890844274272576,WKBundleNodeHandleSetHTMLInputElementAutoFilledAndViewable
9gcEp-syUzQ,15572342089622047952,_ZN3sce3Agc4Core19AsyncComputeContext12postDispatchEv
Y12HbYnPTNw,10193367474779272048,_ZN3sce3Agc24threadLocalAssertDisableEv
XJSBSVI2WEI,8237652326108193032,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_13InGameCatalog2V411ErrorEntityEEEE21intrusive_ptr_add_refEPS9_
q1VybSvRr6s,12490110919453884076,_ZN4Edge5Tools25FindBestPackingConstSpecsERNS0_19KeyframePackingSpecES2_S2_S2_RKNS0_9AnimationERKNS0_15CompressionInfoE
riyMPF0LADo,13308753662427529448,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_14SessionManager2V152PostGameSessionsSessionIdMemberSpectatorsRequestBodyEEEEC2EPKS8_
P2+B5JnxVkM,18284059862558398732,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS2_6VectorINS3_INS1_14SessionManager2V151PostPlayerSessionsSessionIdMemberPlayersRequestBodyEEEEEED2Ev
wvVv2OxrLxQ,852798139360132176,_ZN8LibNpIpc10ServiceMgr13removeServiceE19SceNpIpcServiceType
dubvGs+jvAo,15824448884493447208,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_21AdvancedPlayerProfile2V132ConnectionQualityWirelessMetricsEEEED2Ev
2NZthKrlG-o,7158953273986412520,_ZN3JSC7Symbols17assertPrivateNameE
XCSD7sYLxFU,8111563175086723412,.LCPI389_4
W8lCEPAaisw,8008816599432309552,ucasemap_getOptions_67
+P5TDFU2-fc,16427244890571405276,u_isdefined
7f8YM2IS570,13257577838943117044,ucsdet_close_67
JYTvXJIa-9Y,10814195428785651544,.L.str.167
lKopxPXf420,5956194210859158964,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V133PostGameSessionsSearchRequestBodyEEEE21intrusive_ptr_add_refEPS9_
e+XnAvtC6jc,17264439271583623388,_ZN12video_parser13cVideoPathMgvC1EPKc
FrPkBD6dLis,6543607186188449964,_ZN3sce2Np9CppWebApi6Common15TransactionImplINS2_12IntrusivePtrINS1_17TitleCloudStorage2V132GetMultiDataStatusesResponseBodyEEENS2_11EmptyHeaderEE4initEv
xWYzg8zGFXM,1556220235933570508,_ZNK3sce2Np9CppWebApi14SessionManager2V138GetPlayerSessionsShareableResponseBody6toJsonERNS_4Json5ValueEb
Qaif+xO7qy8,478085163367967932,_ZN8ListNodeI16VoiceCelpDecoderE4PrevEv
C-pGBA8apIE,3452317047368356356,_ZN3sce2Np9CppWebApi6Common6VectorINS1_14SessionManager2V122CustomJoinableUserTypeEE10setContextEPNS2_10LibContextE
PnM1RtWwuQQ,17999996124089476112,_ZN7WebCore10FileSystem11getFileSizeERKN3WTF6StringERx
nqWRoLIUWFw,8833325246654275952,_ZNK3sce11TextureTool3Raw10Reflection13EnumConverter11valueToNameEj
ehXUKUtch8M,16741938810135387916,glTexParameterfv
IM+5ewgCLzI,9457249069837106376,_ZN3sce2Np9CppWebApi14IdentityMapper2V314OnlineIdChange8fromJsonERKNS_4Json5ValueE
7OUPBprVq9g,12940033713509936992,__sys_cpuset_getid
MKGqm2K0G8s,14017078277694320428,_ZZN3sce2Np9CppWebApi6Common6VectorINS1_11Matchmaking2V113AttributeTypeEE7reserveEiENKUlRNS2_10LibContextEmE_clES9_m
D+fkILS7EK0,4584541837245301428,_Fail_s
8P9vqW+IePk,14122653625572516836,_ZN12video_parser5vpcom6StringC1ERKSs
p9t7+fbT3S8,11488102003587904700,_ZN3sce2Np9CppWebApi6Common12IntrusivePtrINS2_6VectorINS3_INS1_7Matches2V123RequestTeamMemberResultEEEEEEC1EPS9_PNS2_10LibContextE
kp7Oa4zQ3Ew,5366946801289228592,_ZN3sce2Np9CppWebApi6Common13ConstIteratorINS2_12IntrusivePtrINS1_11Matchmaking2V121GetTicketResponseBodyEEEEmmEi
YsDe30Lq1t4,10016985773199022968,_ZN3sce2Np9CppWebApi6Common6VectorINS2_12IntrusivePtrINS1_14SessionManager2V142PutGameSessionsSearchAttributesRequestBodyEEEE8pushBackERKS8_
qg4xSB9IE-U,12121655140396584916,_ZNSt5tupleIJjjEEC1IRjJRKjELDn0EEEOT_DpOT0_
niYrNjsCULE,8689885528684315332,sceHidControlSetRevokeList2
